16,23,7,.,.,24,.,4,.,.,.,10,.,.,.,1,.,18,.,.,8,21,14,.,17
*,.,20,.,.,19,15,16,.,.,.,.,.,5,24,4,.,2,14,23,.,.,18,.,7
9,2,12,.,.,.,.,.,20,11,13,.,.,7,.,.,.,.,.,6,.,.,10,25,1
4,.,.,.,19,.,.,.,14,.,8,.,.,23,21,10,.,9,7,17,.,.,.,.,.
18,.,.,.,.,.,1,17,10,.,11,15,19,.,.,12,.,20,.,.,.,13,.,.,.
*,7,1,3,.,.,12,.,.,.,.,.,16,.,.,8,20,11,.,.,.,.,.,9,21
*,6,.,10,.,.,2,21,18,.,12,19,23,.,.,.,.,.,24,16,1,.,.,14,.
8,20,.,18,16,11,.,.,24,.,9,.,.,.,3,.,.,.,22,.,12,.,.,10,4
*,.,.,.,.,1,.,.,9,22,4,.,.,.,.,.,17,23,2,.,24,8,13,.,.
15,21,.,17,9,8,.,.,.,.,.,18,7,2,.,.,1,.,.,.,.,.,19,.,.
*,4,.,16,.,.,.,14,.,.,.,22,.,10,.,.,11,17,8,.,21,24,9,.,.
*,10,11,22,.,.,.,.,.,21,24,3,.,17,1,7,.,.,18,.,5,.,.,.,14
*,.,.,.,17,10,4,.,.,20,.,.,.,.,.,25,.,.,9,5,16,.,.,.,.
25,.,.,.,6,.,16,.,.,19,14,13,.,8,9,23,.,.,.,.,.,12,4,18,.
*,.,23,21,20,.,7,18,13,.,.,4,.,6,.,.,.,3,.,.,.,17,.,19,.
*,.,10,.,.,.,.,.,17,.,.,7,14,12,.,.,.,.,.,4,25,16,.,22,19
*,.,14,11,13,.,10,19,12,.,.,.,.,.,16,18,15,.,.,7,.,.,.,.,.
5,16,.,.,24,.,14,.,.,.,17,.,.,.,11,.,19,.,.,1,6,10,.,4,18
*,18,.,.,3,21,11,.,.,.,.,.,6,13,22,.,25,24,10,.,.,5,.,23,.
12,19,.,.,.,.,.,8,2,23,.,.,9,.,.,.,.,.,6,.,.,7,15,11,.
*,.,.,9,.,.,.,12,.,7,.,.,10,24,14,.,5,19,1,.,.,.,.,.,13
*,.,.,.,.,22,23,24,.,14,21,12,.,.,17,.,9,.,.,.,10,.,.,.,3
23,25,18,.,.,4,.,.,.,.,.,9,.,.,20,6,24,.,.,.,.,.,12,1,16
14,.,19,.,.,15,3,1,.,9,7,5,.,.,.,.,.,8,11,12,.,.,17,.,.
11,.,16,5,1,.,.,13,.,8,.,.,.,25,.,.,.,10,.,14,.,.,24,2,23
